site_name	site_desig	region	lat	lon	match
Sandy Woods	5-S-4	Cairo Lowland	36.97635334504969	-89.44913740191039	grid
Lusk Chapel	5-S-5	Cairo Lowland	36.98568534294794	-89.3971089545626	grid
Charleston	5-S-1	Cairo Lowland	36.91324369945461	-89.26211633967227	grid
Meyer's Mound	5-S-6	Cairo Lowland	36.91321841518001	-89.25988488895445	grid
Barker	6-S-1	Cairo Lowland	36.68590474095917	-89.35150159842587	grid
Spanish Grant	6-S-2	Cairo Lowland	36.71632273275681	-89.40210030206731	grid
Survey Site	6-S-3	Cairo Lowland	36.73744162359051	-89.38932613374227	grid
East Bayou	6-S-4	Cairo Lowland	36.63580381237129	-89.39977092599692	grid
Beckwith's Fort	6-T-1	Cairo Lowland	36.685516676042624	-89.22250861283447	name
Sikeston	5-R-1	Sikeston Ridge	36.833142825561005	-89.5683108064031	grid
East Lake	5-R-2	Sikeston Ridge	36.80408954461925	-89.55383318683083	grid
Lilbourn	6-R-1	Sikeston Ridge	36.567625589012444	-89.58353670775688	grid
Durnell	5-Q-3	Morehouse Lowland	36.97031166226735	-89.80470972191432	grid
Rich Woods	6-Q-1	Malden Plain	36.6944367710494	-89.96458220709603	grid
Holcomb	7-P-1	Malden Plain	36.38065525593163	-90.05105685579343	grid
Old Varney River	8-P-1	Malden Plain	36.139297454038214	-90.22516160145084	grid
Kennett	8-P-2	Malden Plain	36.22430985555021	-90.10571457060645	grid
Cockrum Landing	8-O-1	Malden Plain	36.00162220407815	-90.3433431438382	grid
Wilkins Island	8-O-2	Malden Plain	36.073101217509475	-90.30612408513633	grid
Wardell	7-Q-1	Little River Lowland	36.345394237347	-89.83436742620204	grid
Estes	7-R-3	Little River Lowland	36.33320920305872	-89.64521972256094	grid
Canady	8-Q-3	Little River Lowland	36.148882710892074	-89.75599192502926	grid
Persimmon Grove	8-Q-4	Little River Lowland	36.10941365116906	-89.75767295664058	grid
Caruthersville	8-R-1	Little River Lowland	36.15071886228384	-89.69272793883145	grid
Kinfolk Ridge	8-R-2	Little River Lowland	36.132783190954925	-89.64920387381366	grid
Cooter	8-Q-7	Little River Lowland	36.033276575325125	-89.78576241184717	grid
Chute	8-R-3	Little River Lowland	36.14492076997404	-89.62483422987779	grid
Lakeville Settlement	4-Q-3	Advance Lowland	37.073033870668134	-89.90356282999646	grid
