Assemblages,Parkin_Punctated,Barton/Kent/MPI,Painted,Fortune_Noded,Ranch_Incised,Walls_Engraved,Wallace_Incised,Rhodes_Incised,Vernon_Paul_Applique,Hull_Engraved
40LA007,43,4,39,0,0,0,0,0,0,0
40TP026,6,3,20,0,4,0,0,0,0,0
Barton_Ranch,1194,415,12,32,8,0,0,0,0,0
Beck,1052,684,168,10,27,28,12,16,8,1
Belle_Meade,2445,1313,158,18,69,52,15,30,7,2
Big_Eddy,96,76,100,1,0,0,0,1,0,0
Bishop,18,3,10,0,0,1,0,2,0,0
Carson_Lake,117,117,83,0,9,0,0,0,0,6
Castile_Landing,962,113,175,7,7,0,1,8,2,0
Cheatham,44,7,3,0,4,1,0,4,0,0
Chuccalissa,1740,104,60,22,49,48,0,12,0,0
Clay_Hill,380,125,166,0,0,4,0,2,0,0
Commerce,105,130,46,0,0,4,0,2,0,1
Connor,54,0,11,0,0,0,0,0,0,0
Cramor_Place,386,192,49,10,9,4,2,1,0,0
Cummins,412,48,2,0,3,0,0,0,2,0
Davis,210,41,94,0,0,0,0,0,0,0
Dundee,12,50,4,0,0,0,0,0,0,0
Fortune,286,53,3,0,0,0,0,0,0,0
Fullen,66,11,76,0,0,2,0,0,0,0
Grant,44,51,89,0,2,0,0,0,0,0
Graves_Lake,102,73,61,1,30,1,0,3,3,0
Hatchie,64,10,10,1,4,0,0,0,1,0
Holden_Lake,27,294,7,24,2,0,2,1,3,0
Hollywood,183,147,150,0,4,16,0,4,0,0
Irby,354,113,34,0,49,62,0,25,2,1
Jeter,70,10,12,1,1,4,0,1,0,0
Jones_Bayou,174,3,159,0,2,2,0,0,2,0
Kent_Place,369,207,226,1,6,11,0,2,0,0
Lake_Cormorant,249,49,82,0,36,34,0,6,0,3
Mound_Place,292,68,21,1,0,9,0,6,7,0
Neeleys_Ferry,2284,937,36,10,18,0,0,0,0,0
Nickel,956,405,182,11,9,8,14,5,8,2
Norfolk,36,14,0,0,6,5,0,1,0,0
Notgrass,20,10,12,3,2,3,0,0,0,0
Parchman,12,66,32,1,0,2,0,0,0,0
Parkin,3461,966,183,51,78,2,0,44,13,0
Porter,137,14,91,7,1,4,0,0,1,0
Pouncey,80,17,0,0,0,2,0,0,0,0
Rast,122,4,14,2,2,6,0,3,0,0
Richardsons_Landing,16,13,27,0,1,3,0,1,0,0
Rose_Mound,857,391,99,20,5,0,3,1,3,0
Salomon,112,162,101,2,4,11,0,3,0,0
Soudan,247,36,55,1,0,2,0,0,0,0
Starkley,196,153,159,1,2,6,0,1,0,0
Turnbow,40,87,12,7,1,0,0,0,0,0
Upper_Nodena,10,5,28,0,3,3,0,1,1,0
Vernon_Paul,1584,396,26,2,38,0,0,0,3,0
Wall,112,62,7,4,5,0,0,0,0,0
Walls,844,141,42,6,37,42,0,28,0,6
West_Mounds,16,125,34,3,0,9,0,1,0,0
Wilder,68,19,30,0,6,3,0,2,0,0
Williamson,850,212,12,17,0,0,0,0,1,0
Woodlyn,218,27,12,1,13,10,0,5,0,0
Young,416,109,12,1,23,8,0,0,0,0
